gw,home_entry_id,away_entry_id
1,7663051,5695514
1,8724439,3118086
1,7454697,7532380
2,5695514,7532380
2,3118086,7454697
2,7663051,8724439
3,8724439,5695514
3,7454697,7663051
3,7532380,3118086
4,5695514,3118086
4,7663051,7532380
4,8724439,7454697
5,7454697,5695514
5,7532380,8724439
5,3118086,7663051
6,5695514,7663051
6,3118086,8724439
6,7532380,7454697
7,7532380,5695514
7,7454697,3118086
7,8724439,7663051
8,5695514,8724439
8,7663051,7454697
8,3118086,7532380
9,3118086,5695514
9,7532380,7663051
9,7454697,8724439
10,5695514,7454697
10,8724439,7532380
10,7663051,3118086
11,7663051,5695514
11,8724439,3118086
11,7454697,7532380
12,5695514,7532380
12,3118086,7454697
12,7663051,8724439
13,8724439,5695514
13,7454697,7663051
13,7532380,3118086
14,5695514,3118086
14,7663051,7532380
14,8724439,7454697
15,7454697,5695514
15,7532380,8724439
15,3118086,7663051
16,5695514,7663051
16,3118086,8724439
16,7532380,7454697
17,7532380,5695514
17,7454697,3118086
17,8724439,7663051
18,5695514,8724439
18,7663051,7454697
18,3118086,7532380
19,3118086,5695514
19,7532380,7663051
19,7454697,8724439
20,5695514,7454697
20,8724439,7532380
20,7663051,3118086
21,7663051,5695514
21,8724439,3118086
21,7454697,7532380
22,5695514,7532380
22,3118086,7454697
22,7663051,8724439
23,8724439,5695514
23,7454697,7663051
23,7532380,3118086
24,5695514,3118086
24,7663051,7532380
24,8724439,7454697
25,7454697,5695514
25,7532380,8724439
25,3118086,7663051
26,5695514,7663051
26,3118086,8724439
26,7532380,7454697
27,7532380,5695514
27,7454697,3118086
27,8724439,7663051
28,5695514,8724439
28,7663051,7454697
28,3118086,7532380
29,3118086,5695514
29,7532380,7663051
29,7454697,8724439
30,5695514,7454697
30,8724439,7532380
30,7663051,3118086
31,SEED1,SEED4
31,SEED2,SEED3
32,SEED4,SEED1
32,SEED3,SEED2
33,WINNER_SF1,WINNER_SF2
34,WINNER_SF2,WINNER_SF1
35,SEED5,SEED6
35,LOSER_SF1,LOSER_SF2
36,SEED6,SEED5
36,LOSER_SF2,LOSER_SF1
37,WINNER_SHIELD_SF1,WINNER_SHIELD_SF2
38,WINNER_SHIELD_SF2,WINNER_SHIELD_SF1
